date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18
01/07/2019 4:42,0.548453818,19.20240521,20.46997365,22.05684614,24.00005889,18.867,20.006,22,18.195,20,18
01/07/2019 4:48,0.545948262,19.10807322,20.44070691,22.05623586,24.00005279,18.807,20.001,22,18.03,20,18
01/07/2019 4:54,0.543442706,19.01687756,20.41284414,22.04861118,24.00004744,18.748,20.001,22,18.076,20,18
01/07/2019 5:00,0.540937151,18.92792334,20.38600101,22.04179688,24.0000422,18.69,20.001,22,18.009,20,18
01/07/2019 5:06,0.538431595,18.83720533,20.35887819,22.03853818,24.00003815,18.628,20,22,18.003,20,18
01/07/2019 5:12,0.535789033,18.74977084,20.18657497,22.02787241,24.00003387,18.567,20,22,18.001,20,18
01/07/2019 5:18,0.533146471,18.66589506,20.15209742,22.02592573,24.00003024,18.507,20,22,18.001,20,18
01/07/2019 5:24,0.530503909,18.5852778,20.11979061,22.02582326,24.0000269,18.448,20,22,18.001,20,18
01/07/2019 5:30,0.527861346,18.50795279,20.09063664,22.0233211,24.00002397,18.392,20,22,18.001,20,18
01/07/2019 5:36,0.525218784,18.4337697,20.09994696,22.02083857,24.00002125,18.343,20,22,18.001,20,18
01/07/2019 5:42,0.522576222,18.36310292,20.00092616,22.01868831,24.00001876,18.309,20,22,18.001,20,18
01/07/2019 5:48,0.51993366,18.2961413,20.03290266,22.01679148,24.00001654,18.111,20,22,18,20,18
01/07/2019 5:54,0.517291098,18.23417437,20.0271052,22.01512099,24.00001459,18.181,20,22,18,20,18
01/07/2019 6:00,0.514648535,18.18310197,20.02109691,22.01378429,24.00001299,18.178,20,22,18,20,18
01/07/2019 6:06,0.512005973,18.18133002,20.01967224,22.01379815,24.00001304,18.045,20,22,18,20,18
01/07/2019 6:12,0.516234098,18.17834849,20.01970769,22.01378764,24.00001304,18,20,22,18,20,18
01/07/2019 6:18,0.520462223,18.17401596,20.020116,22.01374522,24.00001309,18,20,22,18,20,18
01/07/2019 6:24,0.524690349,18.16818407,20.01857739,22.01367315,24.000013,18,20,22,18,20,18
01/07/2019 6:30,0.528918474,18.16080306,20.01843179,22.01356563,24.00001295,18,20,22,18,20,18
01/07/2019 6:36,0.533146599,18.1518191,20.01609843,22.01340424,24.00001284,18.049,20,22,18,20,18
01/07/2019 6:42,0.537374724,18.14130371,20.01546946,22.0132197,24.00001265,18.038,20,22,18,20,18
01/07/2019 6:48,0.541602849,18.12957034,20.01302819,22.01296554,24.00001241,18.032,20,22,18,20,18
01/07/2019 6:54,0.545830974,18.11724985,20.01162276,22.01268984,24.00001214,18.026,20,22,18,20,18
01/07/2019 7:00,0.550059099,18.10666275,20.0104852,22.01244188,24.00001193,18.018,20,22,18,20,18
01/07/2019 7:06,0.554287224,18.11354145,20.01202977,22.01293043,24.00001261,18.021,20,22,18,20,18
01/07/2019 7:12,0.563624169,18.12106714,20.01288028,22.01352872,24.0000134,18.025,20,22,18,20,18
01/07/2019 7:18,0.572961113,18.12918751,20.01425697,22.01420507,24.00001425,18.028,20,22,18,20,18
01/07/2019 7:24,0.582298057,18.13780771,20.0162765,22.01485551,24.00001526,18.031,20,22,18,20,18
01/07/2019 7:30,0.591635002,18.60533382,20.01673445,22.01606009,24.00001645,18.035,20,22,18,20,18
01/07/2019 7:36,0.600971946,24.77738274,20.01830407,22.01664594,24.00001785,18.039,20,22,18,20,18
01/07/2019 7:42,0.61030889,18.00520001,20.01995549,22.01839955,24.00001948,18.042,20,22,18,20,18
01/07/2019 7:48,0.619645835,24.8984184,20.02089158,22.03716079,24.0000213,18.046,20,22,18,20,18
01/07/2019 7:54,0.628982779,20.82687293,20.0241841,22.09945533,24.00002339,18.05,20,22,18,20,18
01/07/2019 8:00,0.638319724,22.17706933,20.02275066,22.84648058,24.00002588,18.054,20,22,18,20,18
01/07/2019 8:06,0.647656668,25.73148662,20.03964598,23.21569329,24.00003046,18.065,20,22,18,20,18
01/07/2019 8:12,0.658833928,20.87923471,22.7207382,23.15213643,24.00003685,18.077,20,22,18,20,18
01/07/2019 8:18,0.670011188,25.80192896,21.31774276,23.70373025,24.00004706,18.094,20,22,18,20,18
01/07/2019 8:24,0.681188449,25.98706174,22.17636175,23.34346123,24.00006508,18.117,20,22,18.001,20,18
01/07/2019 8:30,0.692365709,21.97961506,20.16752045,22.39214813,24.00013616,18.162,20.001,22,18.001,20,18
01/07/2019 8:36,0.703542969,25.96854719,21.61584904,24.18519619,24.00119033,23.472,20.002,22,18.001,20,18
01/07/2019 8:42,0.714720229,25.39983659,22.09136937,24.87278751,25.54995005,22.845,20.01,22,18.001,20,18
01/07/2019 8:48,0.72589749,22.13680169,20.85233144,23.64545505,24.6260939,19.955,21.455,22,18.002,20,18
01/07/2019 8:54,0.73707475,25.58655237,21.88644791,25.06441475,24.97548285,21.44,21.684,22,18.003,20,18
01/07/2019 9:00,0.74825201,25.99332112,25.54124838,25.91519332,25.85008285,20.621,23.056,22,18.009,20,18
01/07/2019 9:06,0.75942927,24.64891678,25.99882192,25.44262607,25.57502369,20.805,21.544,22,18,20,18
01/07/2019 9:12,0.768903403,25.02765297,25.93858835,24.24880013,25.17371891,22.825,21.863,22,21.995,20,18
01/07/2019 9:18,0.778377535,25.97216268,22.48533233,24.74143752,25.78786329,22.126,23.973,22.991,19.77,20,18
01/07/2019 9:24,0.787851667,22.50894468,23.97450619,25.65020592,25.20397682,22.154,22.275,23.174,21.901,20,18
01/07/2019 9:30,0.797325799,25.23407002,23.61119249,25.52323155,25.6411011,22.747,23.047,22.926,20.393,20,18
01/07/2019 9:36,0.806799931,24.26176814,25.43445377,25.43733779,25.35875881,23.124,22.452,23.999,20.99,21.262,18
01/07/2019 9:42,0.816274063,23.38733422,25.99359762,25.84894462,25.35345497,23.532,23.054,24,21.942,21.392,18
01/07/2019 9:48,0.825748196,23.89296305,24.18129975,25.75105923,25.74993595,23.048,23.98,23.533,21.969,21.201,19.358
