date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18,
01/07/2019 5:42,0.29,25.90,25.93,25.95,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:48,0.29,25.89,25.91,25.95,25.95,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 5:54,0.29,25.89,25.91,25.95,25.97,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 6:00,0.29,25.93,25.90,25.98,25.96,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 6:06,0.29,25.92,25.84,25.94,25.96,24.00,24.00,24.00,19.68,22.00,20.00,
01/07/2019 6:12,0.29,25.86,25.90,25.95,25.99,24.00,24.00,24.00,19.57,22.00,20.00,
01/07/2019 6:18,0.29,25.86,25.93,26.00,25.97,24.00,24.00,24.00,18.83,22.00,19.42,
01/07/2019 6:24,0.29,25.91,25.94,25.95,25.97,24.00,24.00,24.00,18.82,22.00,18.47,
01/07/2019 6:30,0.29,25.86,25.93,25.96,25.99,21.43,21.35,24.00,18.75,22.00,18.46,
01/07/2019 6:36,0.29,25.87,25.96,25.97,25.99,21.38,20.77,24.00,18.77,20.68,18.33,
01/07/2019 6:42,0.29,25.90,25.94,25.96,25.99,20.69,21.06,24.00,18.65,20.47,18.34,
01/07/2019 6:48,0.29,25.91,25.93,25.98,25.99,20.66,20.94,23.62,18.58,20.37,18.24,
01/07/2019 6:54,0.29,25.91,25.94,25.95,25.98,19.63,20.78,22.28,18.95,20.13,18.19,
01/07/2019 7:00,0.29,25.96,25.92,25.99,25.98,18.98,20.64,22.13,18.81,20.13,18.16,
01/07/2019 7:06,0.29,25.92,23.17,23.94,25.97,18.67,20.58,22.07,18.71,20.05,18.14,
01/07/2019 7:12,0.29,22.77,22.74,23.31,25.36,18.57,20.93,22.00,18.63,20.00,18.07,
01/07/2019 7:18,0.29,20.82,22.26,23.17,24.05,20.23,20.84,22.00,18.59,20.00,18.00,
01/07/2019 7:24,0.29,20.43,21.62,23.06,24.02,19.76,20.74,22.00,18.77,20.00,18.00,
01/07/2019 7:30,0.29,20.06,21.40,23.01,24.01,19.29,20.65,22.00,18.67,20.00,18.00,
01/07/2019 7:36,0.29,19.73,21.21,22.89,24.01,18.86,20.64,22.00,18.58,20.00,18.00,
01/07/2019 7:42,0.29,19.46,21.09,22.82,24.01,18.56,20.48,22.00,18.51,20.00,18.00,
01/07/2019 7:48,0.29,19.30,21.14,22.74,24.01,18.41,20.61,22.00,18.46,20.00,18.00,
01/07/2019 7:54,0.29,19.30,21.14,22.72,24.00,18.40,20.26,22.00,18.46,20.00,18.00,
01/07/2019 8:00,0.29,24.99,24.78,25.15,25.21,23.21,23.20,23.54,21.16,21.67,19.67,
01/07/2019 8:06,0.33,25.18,24.60,25.14,25.21,23.21,23.19,23.54,21.16,21.67,19.64,
01/07/2019 8:12,0.33,25.94,24.90,25.14,25.21,23.20,23.19,23.54,21.15,21.67,19.93,
01/07/2019 8:18,0.33,24.99,24.80,25.13,25.21,23.20,23.19,23.54,21.15,21.66,19.93,
01/07/2019 8:24,0.33,25.16,24.67,25.13,25.61,23.20,23.18,23.54,21.15,21.66,19.96,
01/07/2019 8:30,0.33,25.26,25.50,25.12,25.49,23.19,23.17,23.53,21.14,21.87,20.00,
01/07/2019 8:36,0.33,25.00,25.29,25.11,25.49,23.19,23.17,23.52,21.33,21.87,20.00,
01/07/2019 8:42,0.33,25.29,25.12,25.10,25.85,23.18,23.16,23.73,21.32,21.96,20.00,
01/07/2019 8:48,0.33,25.23,25.31,25.09,25.63,23.17,23.15,23.91,21.36,21.99,20.00,
01/07/2019 8:54,0.33,25.15,25.40,25.46,25.44,23.17,23.40,23.93,21.64,22.00,20.00,
01/07/2019 9:00,0.33,25.27,25.56,25.31,25.68,23.16,23.36,23.88,21.62,22.00,20.00,
01/07/2019 9:06,0.33,25.43,25.60,25.59,25.89,23.43,23.59,23.89,21.82,22.00,20.00,
01/07/2019 9:12,0.33,25.55,25.17,25.77,25.75,23.79,23.60,23.91,21.86,22.00,20.00,
01/07/2019 9:18,0.33,25.93,25.56,25.58,25.70,23.91,23.55,23.99,21.94,22.00,20.00,
01/07/2019 9:24,0.33,25.41,25.34,25.54,26.00,23.65,23.51,24.00,21.92,22.00,20.00,
01/07/2019 9:30,0.33,25.96,25.28,25.58,25.74,23.52,23.55,24.00,21.96,22.00,20.00,
01/07/2019 9:36,0.33,25.73,25.41,25.47,25.82,23.73,23.59,24.00,22.00,22.00,20.00,
01/07/2019 9:42,0.33,25.88,25.84,25.47,25.82,23.69,23.66,24.00,22.00,22.00,20.00,
01/07/2019 9:48,0.33,25.50,25.70,25.97,25.81,23.67,23.96,24.00,22.00,22.00,20.00,
01/07/2019 9:54,0.33,25.99,25.63,25.57,25.97,23.76,23.86,24.00,22.00,22.00,20.00,
01/07/2019 10:00,0.33,25.60,25.93,25.58,25.96,23.89,23.89,24.00,22.00,22.00,20.00,
01/07/2019 10:06,0.35,25.89,25.69,25.65,25.94,23.90,23.96,24.00,22.00,22.00,20.00,
01/07/2019 10:12,0.35,25.79,25.62,25.76,25.98,23.97,23.97,24.00,22.00,22.00,20.00,
01/07/2019 10:18,0.35,25.69,25.63,25.74,25.88,23.96,23.99,24.00,22.00,22.00,20.00,
01/07/2019 10:24,0.35,25.80,25.60,25.69,25.97,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 10:30,0.35,25.87,25.62,25.75,25.99,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 10:36,0.35,25.97,25.76,25.89,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 10:42,0.35,25.73,25.74,25.87,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 10:48,0.35,25.85,25.86,25.96,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 10:54,0.35,25.89,25.87,25.89,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:00,0.35,25.92,25.89,25.92,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:06,0.35,25.91,25.88,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:12,0.35,25.88,25.93,25.96,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:18,0.35,25.93,25.94,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:24,0.35,25.98,25.97,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:30,0.35,25.95,25.91,25.98,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:36,0.35,25.97,25.96,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:42,0.35,25.98,25.95,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:48,0.35,25.99,25.96,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 11:54,0.35,25.99,25.98,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:00,0.35,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
